Title,Episode,Image URL,Time,Episode Link
A Fight for Justice (2024),EP 7,https://dramacool.sh/wp-content/uploads/2024/08/a-fight-for-justice-1722826586-180x220.png,5 hours ago,https://dramacool.sh/a-fight-for-justice-2024-episode-7/
Wind Direction (2024),EP 30,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",1 day ago,https://dramacool.sh/wind-direction-2024-episode-30/
In Between (2024),EP 4,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",1 day ago,https://dramacool.sh/in-between-2024-episode-4/
She and Her Girls (2024),EP 14,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",1 day ago,https://dramacool.sh/she-and-her-girls-2024-episode-14/
Glory of Love (2023),EP 233,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",1 day ago,https://dramacool.sh/glory-of-love-2023-episode-233/
The First Shot (2024),EP 32,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",1 day ago,https://dramacool.sh/the-first-shot-2024-episode-32/
SKY Castle (2024),EP 8,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",2 days ago,https://dramacool.sh/sky-castle-2024-episode-8/
Geeks (2024),EP 11,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",2 days ago,https://dramacool.sh/geeks-2024-episode-11/
Baseball Monsters,EP 98,https://dramacool.sh/wp-content/uploads/2023/09/baseball-monster-164x220.jpg,12 hours ago,https://dramacool.sh/baseball-monsters-episode-98/
Chosun Wedding,EP 56,https://dramacool.sh/wp-content/uploads/2024/02/chosun-wedding-1662922178.jpg,12 hours ago,https://dramacool.sh/chosun-wedding-episode-56/
Tobob Love,EP 127,https://dramacool.sh/wp-content/uploads/2023/08/tobob-love-180x220.png,13 hours ago,https://dramacool.sh/tobob-love-episode-127/
Public Love: Actress’s Private Life (2024),EP 4,https://dramacool.sh/wp-content/uploads/2024/09/public-love-actresss-private-life-2024-1726094867-180x220.jpg,13 hours ago,https://dramacool.sh/public-love-actress-s-private-life-2024-episode-4/
Love After Divorce Season 6,EP 2,https://dramacool.sh/wp-content/uploads/2024/09/love-after-divorce-season-6-1726808423-180x220.jpg,2 days ago,https://dramacool.sh/love-after-divorce-season-6-episode-2/
